"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"352.325K Weight"	"400.43K Weight"	"455.102K Weight"	"517.238K Weight"	"587.859K Weight"	"668.121K Weight"	"759.342K Weight"	"863.017K Weight"	"980.848K Weight"	"1114.77K Weight"	"1266.97K Weight"	"1439.95K Weight"	"1636.56K Weight"	"1860K Weight"
36500	668.121	50.9208	0.463988	0	-2.33984	-4.5	-6.64844	-8.42969	-10.1406	-11.7539	-13.3516	-14.6523	-15.9922	-17.2188	-18.4688	-19.5391	-20.7969	-21.6484
37000	352.325	43.1033	0.879868	0	-2.36719	-4.50391	-6.64062	-8.4375	-10.1055	-11.7227	-13.3125	-14.6133	-15.9453	-17.1641	-18.4141	-19.4883	-20.7422	-21.5938
37500	668.121	57.3227	0.463988	0	-2.35156	-4.51172	-6.60938	-8.40625	-10.0742	-11.6875	-13.2539	-14.5703	-15.8984	-17.1016	-18.3477	-19.4219	-20.6797	-21.5312
38000	455.102	47.2083	0.681167	0	-2.35547	-4.49219	-6.61719	-8.39453	-10.0547	-11.6914	-13.2422	-14.5625	-15.8867	-17.082	-18.332	-19.3906	-20.6523	-21.4961
38500	455.102	48.4608	0.681167	0	-2.35938	-4.50391	-6.60547	-8.41016	-10.0625	-11.6875	-13.2109	-14.5391	-15.8594	-17.0469	-18.2891	-19.3516	-20.6133	-21.457
39000	980.848	66.3313	0.316053	0	-2.30469	-4.45312	-6.51562	-8.32422	-9.94922	-11.5703	-13.0977	-14.4141	-15.7422	-16.9258	-18.168	-19.2266	-20.4883	-21.332
39500	587.859	40.7928	0.527338	0	-2.30859	-4.42578	-6.47656	-8.29297	-9.89062	-11.5	-13.043	-14.3398	-15.6641	-16.8438	-18.0859	-19.1445	-20.4062	-21.25
40000	517.238	50.0859	0.599337	0	-2.32422	-4.41406	-6.44922	-8.23828	-9.82422	-11.4375	-12.9766	-14.2578	-15.5859	-16.7656	-18.0039	-19.0625	-20.3242	-21.168
40500	517.238	52.5952	0.599337	0	-2.3125	-4.40234	-6.41016	-8.23047	-9.76562	-11.3945	-12.918	-14.2109	-15.5352	-16.7031	-17.9414	-18.9922	-20.2539	-21.0977
41000	352.325	47.279	0.879868	0	-2.29297	-4.39844	-6.39062	-8.21875	-9.75781	-11.3594	-12.9023	-14.1875	-15.5117	-16.6836	-17.9219	-18.957	-20.2344	-21.0977
41500	863.017	63.0739	0.359205	0	-2.32812	-4.42578	-6.40234	-8.25391	-9.78516	-11.3672	-12.9297	-14.2148	-15.5469	-16.707	-17.9375	-18.9727	-20.2461	-21.1289
42000	455.102	43.1895	0.681167	0	-2.33203	-4.42578	-6.40234	-8.24609	-9.78516	-11.3555	-12.9102	-14.1836	-15.5234	-16.6758	-17.9102	-18.9375	-20.207	-21.0977
42500	759.342	53.3228	0.408248	0	-2.34375	-4.42578	-6.40625	-8.26953	-9.80469	-11.3672	-12.918	-14.207	-15.5391	-16.6875	-17.9141	-18.9492	-20.2109	-21.1055
43000	1114.77	59.2332	0.278085	0	-2.37109	-4.41016	-6.40625	-8.28906	-9.79688	-11.3516	-12.918	-14.168	-15.5078	-16.6562	-17.875	-18.9102	-20.168	-21.0664
43500	455.102	49.5245	0.681167	0	-2.39062	-4.42578	-6.42188	-8.30859	-9.80859	-11.3711	-12.9375	-14.1602	-15.5195	-16.6406	-17.8594	-18.8906	-20.1523	-21.0469
