#"Steps"	"Temperature (K)"	"310K Weight"	"330.194K Weight"	"351.703K Weight"	"374.613K Weight"	"399.016K Weight"	"425.008K Weight"	"452.694K Weight"	"482.183K Weight"	"513.592K Weight"	"547.048K Weight"	"582.684K Weight"	"620.64K Weight"	"661.069K Weight"	"704.132K Weight"	"750K Weight"
21500	750	57.5872	0	2.32812	4.37109	6.06836	7.45312	9.16211	10.2891	11.4609	12.3105	13.4238	14.373	14.8281	15.9082	16.4883	17.2324
22000	330.194	73.8501	0	2.32227	4.36719	6.0625	7.44531	9.15234	10.2734	11.4473	12.293	13.3984	14.3516	14.8164	15.8867	16.4766	17.209
22500	547.048	69.4414	0	2.31641	4.36133	6.06055	7.43164	9.15039	10.2637	11.4434	12.2812	13.3867	14.3438	14.8184	15.877	16.4668	17.1934
23000	582.684	74.9182	0	2.30664	4.35352	6.04492	7.43164	9.14258	10.2559	11.4336	12.2812	13.377	14.3359	14.8203	15.875	16.4688	17.1895
23500	482.183	68.3421	0	2.3125	4.3623	6.04395	7.44531	9.1543	10.2646	11.4385	12.2949	13.3926	14.3467	14.834	15.8887	16.4814	17.1943
24000	351.703	93.6156	0	2.31055	4.36133	6.04199	7.44531	9.15332	10.2656	11.4414	12.2979	13.3984	14.3457	14.8389	15.8867	16.4873	17.1992
24500	399.016	88.1612	0	2.3125	4.36133	6.03711	7.44141	9.15234	10.2607	11.4346	12.293	13.3916	14.3408	14.8428	15.8809	16.4893	17.1963
25000	399.016	66.9676	0	2.30859	4.35742	6.03223	7.43066	9.14062	10.2568	11.4287	12.2871	13.3877	14.333	14.8379	15.8701	16.4746	17.1914
25500	620.64	71.713	0	2.30664	4.35059	6.0293	7.42773	9.13867	10.2578	11.4248	12.2822	13.3818	14.3271	14.834	15.8652	16.4688	17.1885
26000	582.684	75.2259	0	2.30078	4.35547	6.03418	7.43652	9.14551	10.2646	11.4287	12.2861	13.3857	14.332	14.8438	15.877	16.4775	17.1934
26500	330.194	99.9571	0	2.30518	4.36279	6.04297	7.44727	9.15527	10.2729	11.4375	12.2954	13.3921	14.3408	14.854	15.8882	16.4883	17.2041
27000	661.069	63.9736	0	2.30176	4.36328	6.04541	7.45215	9.15918	10.2773	11.4395	12.2998	13.3965	14.3433	14.8589	15.8892	16.4922	17.2075
27500	351.703	93.9566	0	2.30273	4.36377	6.04785	7.45703	9.16064	10.2822	11.4434	12.3047	13.4033	14.3491	14.8662	15.8945	16.499	17.2124
28000	704.132	48.2621	0	2.30664	4.36572	6.05225	7.46631	9.1665	10.2905	11.4517	12.3135	13.4106	14.3569	14.8745	15.9038	16.5063	17.2192
