"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"347.828K Weight"	"390.272K Weight"	"437.895K Weight"	"491.33K Weight"	"551.284K Weight"	"618.555K Weight"	"694.035K Weight"	"778.725K Weight"	"873.75K Weight"	"980.37K Weight"	"1100K Weight"
5600	310	72.139	1	0	3	5	7	10	10	11	15	15	16	17	19
5650	491.33	55.2773	0.630941	0	3	5	7	9	10	11	15	15	16	17	19
5700	310	63.7316	1	0	4	6	8	10	11	12	16	16	17	18	20
5750	1100	46.7486	0.281818	0	4	6	8	10	11	12	16	16	17	18	19
5800	390.272	74.8679	0.794318	0	4	5	8	10	11	12	16	16	17	18	19
5850	873.75	59.7862	0.354793	0	4	5	8	10	11	12	16	16	16	18	19
5900	694.035	61.3113	0.446663	0	4	5	8	10	11	12	15	16	16	18	19
5950	310	83.7451	1	0	5	6	9	11	12	13	16	17	17	19	20
6000	778.725	60.6094	0.398087	0	5	6	9	11	12	13	16	16	17	19	20
6050	347.828	71.335	0.891245	0	4	6	9	11	12	13	16	16	17	19	20
6100	1100	51.4906	0.281818	0	4	6	9	11	12	13	16	16	17	19	19
6150	347.828	73.416	0.891245	0	3	6	9	11	12	13	16	16	17	19	19
6200	980.37	46.6109	0.316207	0	3	6	9	11	12	13	16	16	17	18	19
6250	873.75	65.8298	0.354793	0	3	6	9	11	12	13	16	16	16	18	19
6300	551.284	63.6456	0.562323	0	3	6	9	11	11	13	16	16	16	18	19
6350	778.725	75.9877	0.398087	0	3	6	9	11	11	13	16	15	16	18	19
6400	491.33	75.4374	0.630941	0	3	6	9	10	11	13	16	15	16	18	19
6450	694.035	54.5309	0.446663	0	3	6	9	10	11	13	15	15	16	18	19
6500	437.895	67.9773	0.707932	0	3	6	8	10	11	13	15	15	16	18	19
6550	694.035	60.7069	0.446663	0	3	6	8	10	11	13	14	15	16	18	19
6600	980.37	59.6745	0.316207	0	3	6	8	10	11	13	14	15	16	17	19
6650	310	94.8816	1	0	4	7	9	11	12	14	15	16	17	18	20
6700	1100	52.3694	0.281818	0	4	7	9	11	12	14	15	16	17	18	19
6750	390.272	77.1646	0.794318	0	4	6	9	11	12	14	15	16	17	18	19
6800	491.33	54.6914	0.630941	0	4	6	9	10	12	14	15	16	17	18	19
6850	694.035	62.3526	0.446663	0	4	6	9	10	12	14	14	16	17	18	19
6900	437.895	70.9823	0.707932	0	4	6	8	10	12	14	14	16	17	18	19
6950	778.725	49.6622	0.398087	0	4	6	8	10	12	14	14	15	17	18	19
7000	437.895	85.2848	0.707932	0	4	6	7	10	12	14	14	15	17	18	19
7050	347.828	69.0547	0.891245	0	3	6	7	10	12	14	14	15	17	18	19
7100	551.284	74.7495	0.562323	0	3	6	7	10	11	14	14	15	17	18	19
7150	551.284	76.3507	0.562323	0	3	6	7	10	10	14	14	15	17	18	19
7200	694.035	53.997	0.446663	0	3	6	7	10	10	14	13	15	17	18	19
7250	873.75	63.1008	0.354793	0	3	6	7	10	10	14	13	15	16	18	19
7300	618.555	53.7013	0.501168	0	3	6	7	10	10	13	13	15	16	18	19
7350	980.37	50.3812	0.316207	0	3	6	7	10	10	13	13	15	16	17	19
7400	778.725	57.0718	0.398087	0	3	6	7	10	10	13	13	14	16	17	19
7450	618.555	54.3442	0.501168	0	3	6	7	10	10	12	13	14	16	17	19
7500	873.75	50.8297	0.354793	0	3	6	7	10	10	12	13	14	15	17	19
7550	491.33	64.1371	0.630941	0	3	6	7	9	10	12	13	14	15	17	19
7600	1100	50.6871	0.281818	0	3	6	7	9	10	12	13	14	15	17	18
7650	310	76.1991	1	0	4	7	8	10	11	13	14	15	16	18	19
7700	980.37	58.7203	0.316207	0	4	7	8	10	11	13	14	15	16	17	19
7750	347.828	163.835	0.891245	0	3	7	8	10	11	13	14	15	16	17	19
7800	694.035	61.0354	0.446663	0	3	7	8	10	11	13	13	15	16	17	19
7850	310	89.18	1	0	4	8	9	11	12	14	14	16	17	18	20
7900	390.272	59.6706	0.794318	0	4	7	9	11	12	14	14	16	17	18	20
7950	1100	56.9815	0.281818	0	4	7	9	11	12	14	14	16	17	18	19
8000	310	138.667	1	0	5	8	10	12	13	15	15	17	18	19	20
8050	437.895	73.5248	0.707932	0	5	8	9	12	13	15	15	17	18	19	20
8100	437.895	60.3231	0.707932	0	5	8	8	12	13	15	15	17	18	19	20
8150	310	107.368	1	0	6	9	9	13	14	16	16	18	19	20	21
8200	873.75	75.4353	0.354793	0	6	9	9	13	14	16	16	18	18	20	21
8250	390.272	116.202	0.794318	0	6	8	9	13	14	16	16	18	18	20	21
8300	551.284	67.0401	0.562323	0	6	8	9	13	13	16	16	18	18	20	21
8350	491.33	103.12	0.630941	0	6	8	9	12	13	16	16	18	18	20	21
8400	347.828	95.2034	0.891245	0	5	8	9	12	13	16	16	18	18	20	21
8450	551.284	61.159	0.562323	0	5	8	9	12	12	16	16	18	18	20	21
8500	347.828	83.2706	0.891245	0	4	8	9	12	12	16	16	18	18	20	21
8550	618.555	87.0799	0.501168	0	4	8	9	12	12	15	16	18	18	20	21
8600	390.272	72.3956	0.794318	0	4	7	9	12	12	15	16	18	18	20	21
8650	390.272	90.8698	0.794318	0	4	6	9	12	12	15	16	18	18	20	21
8700	618.555	66.693	0.501168	0	4	6	9	12	12	14	16	18	18	20	21
8750	347.828	95.8451	0.891245	0	3	6	9	12	12	14	16	18	18	20	21
8800	390.272	81.4182	0.794318	0	3	5	9	12	12	14	16	18	18	20	21
8850	390.272	82.2281	0.794318	0	3	4	9	12	12	14	16	18	18	20	21
8900	437.895	80.477	0.707932	0	3	4	8	12	12	14	16	18	18	20	21
8950	347.828	66.095	0.891245	0	2	4	8	12	12	14	16	18	18	20	21
9000	980.37	68.5115	0.316207	0	2	4	8	12	12	14	16	18	18	19	21
9050	491.33	99.8246	0.630941	0	2	4	8	11	12	14	16	18	18	19	21
9100	491.33	51.1645	0.630941	0	2	4	8	10	12	14	16	18	18	19	21
9150	618.555	65.6502	0.501168	0	2	4	8	10	12	13	16	18	18	19	21
9200	491.33	76.1722	0.630941	0	2	4	8	9	12	13	16	18	18	19	21
9250	778.725	77.7271	0.398087	0	2	4	8	9	12	13	16	17	18	19	21
9300	310	90.5515	1	0	3	5	9	10	13	14	17	18	19	20	22
9350	694.035	65.6367	0.446663	0	3	5	9	10	13	14	16	18	19	20	22
9400	1100	65.0283	0.281818	0	3	5	9	10	13	14	16	18	19	20	21
9450	347.828	122.526	0.891245	0	2	5	9	10	13	14	16	18	19	20	21
9500	1100	49.5951	0.281818	0	2	5	9	10	13	14	16	18	19	20	20
9550	310	118.166	1	0	3	6	10	11	14	15	17	19	20	21	21
9600	694.035	86.9571	0.446663	0	3	6	10	11	14	15	16	19	20	21	21
9650	873.75	74.6214	0.354793	0	3	6	10	11	14	15	16	19	19	21	21
9700	347.828	134.302	0.891245	0	2	6	10	11	14	15	16	19	19	21	21
9750	694.035	65.2956	0.446663	0	2	6	10	11	14	15	15	19	19	21	21
9800	778.725	75.9326	0.398087	0	2	6	10	11	14	15	15	18	19	21	21
9850	310	117.93	1	0	3	7	11	12	15	16	16	19	20	22	22
9900	778.725	62.4724	0.398087	0	3	7	11	12	15	16	16	18	20	22	22
9950	310	114.501	1	0	4	8	12	13	16	17	17	19	21	23	23
10000	980.37	76.962	0.316207	0	4	8	12	13	16	17	17	19	21	22	23
10050	437.895	126.94	0.707932	0	4	8	11	13	16	17	17	19	21	22	23
10100	1100	58.952	0.281818	0	4	8	11	13	16	17	17	19	21	22	22
10150	310	151.532	1	0	5	9	12	14	17	18	18	20	22	23	23
10200	437.895	65.7315	0.707932	0	5	9	11	14	17	18	18	20	22	23	23
10250	873.75	64.8548	0.354793	0	5	9	11	14	17	18	18	20	21	23	23
10300	551.284	85.2254	0.562323	0	5	9	11	14	16	18	18	20	21	23	23
10350	778.725	60.2398	0.398087	0	5	9	11	14	16	18	18	19	21	23	23
10400	390.272	95.8509	0.794318	0	5	8	11	14	16	18	18	19	21	23	23
10450	980.37	70.9037	0.316207	0	5	8	11	14	16	18	18	19	21	22	23
10500	491.33	89.0701	0.630941	0	5	8	11	13	16	18	18	19	21	22	23
10550	437.895	76.2092	0.707932	0	5	8	10	13	16	18	18	19	21	22	23
10600	980.37	55.7663	0.316207	0	5	8	10	13	16	18	18	19	21	21	23
10650	551.284	81.2151	0.562323	0	5	8	10	13	15	18	18	19	21	21	23
10700	310	86.2372	1	0	6	9	11	14	16	19	19	20	22	22	24
10750	1100	60.4059	0.281818	0	6	9	11	14	16	19	19	20	22	22	23
10800	618.555	64.104	0.501168	0	6	9	11	14	16	18	19	20	22	22	23
10850	618.555	50.7992	0.501168	0	6	9	11	14	16	17	19	20	22	22	23
