"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"310K Weight"	"325.179K Weight"	"341.101K Weight"	"357.803K Weight"	"375.323K Weight"	"393.7K Weight"	"412.978K Weight"	"433.199K Weight"	"454.41K Weight"	"476.661K Weight"	"500K Weight"
4700000	476.661	1620.09	0.650358	0	-17.2442	-34.4082	-51.8934	-69.7476	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
4750000	412.978	1270.27	0.750646	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
4800000	500	1801.64	0.62	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
4850000	375.323	1197.55	0.825956	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6639	-105.945	-124.295	-143.163	-162.129	-181.325
4900000	500	1720.71	0.62	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6639	-105.945	-124.296	-143.163	-162.129	-181.325
4950000	454.41	1491.57	0.682203	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6639	-105.945	-124.295	-143.163	-162.129	-181.325
5000000	341.101	1021.82	0.908821	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6639	-105.945	-124.296	-143.163	-162.13	-181.325
5050000	433.199	1355.7	0.715606	0	-17.2442	-34.4083	-51.8934	-69.7476	-87.6639	-105.945	-124.296	-143.163	-162.13	-181.325
5100000	476.661	1521.33	0.650358	0	-17.2442	-34.4083	-51.8934	-69.7476	-87.6639	-105.945	-124.296	-143.163	-162.13	-181.325
5150000	310	916.569	1	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6639	-105.945	-124.296	-143.163	-162.13	-181.325
5200000	454.41	1496.4	0.682203	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6639	-105.945	-124.296	-143.163	-162.129	-181.325
5250000	375.323	1159.05	0.825956	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
5300000	310	902.986	1	0	-17.2442	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
5350000	375.323	1145.74	0.825956	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
5400000	433.199	1467.08	0.715606	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
5450000	433.199	1378.5	0.715606	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.296	-143.163	-162.129	-181.325
5500000	393.7	1189.92	0.787401	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.296	-143.163	-162.129	-181.325
5550000	412.978	1288.46	0.750646	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.296	-143.163	-162.129	-181.325
5600000	375.323	1144.08	0.825956	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6639	-105.945	-124.296	-143.163	-162.129	-181.325
5650000	454.41	1560.13	0.682203	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6639	-105.945	-124.296	-143.163	-162.129	-181.325
5700000	310	877.923	1	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6639	-105.945	-124.296	-143.163	-162.129	-181.325
5750000	341.101	1081.65	0.908821	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.296	-143.163	-162.129	-181.325
5800000	454.41	1483.45	0.682203	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.296	-143.163	-162.129	-181.325
5850000	310	913.342	1	0	-17.2442	-34.4082	-51.8933	-69.7476	-87.6638	-105.945	-124.296	-143.163	-162.129	-181.325
5900000	310	874.531	1	0	-17.2442	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.296	-143.163	-162.129	-181.325
5950000	310	898.333	1	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6000000	325.179	980.704	0.953321	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6050000	341.101	1027.68	0.908821	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6100000	310	899.909	1	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6150000	310	883.602	1	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6200000	357.803	1105.6	0.866398	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6250000	393.7	1212.48	0.787401	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6300000	310	889.285	1	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6350000	310	892.351	1	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6400000	433.199	1416.05	0.715606	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6450000	375.323	1108.29	0.825956	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6500000	310	870.401	1	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6550000	310	896.511	1	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6600000	357.803	1056.22	0.866398	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6650000	310	861.942	1	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6700000	325.179	902.218	0.953321	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6750000	310	922.49	1	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6800000	341.101	1042.81	0.908821	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6850000	500	1587.62	0.62	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6900000	393.7	1221.55	0.787401	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
6950000	357.803	1087.13	0.866398	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
7000000	325.179	969.175	0.953321	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
7050000	325.179	932.854	0.953321	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
7100000	357.803	1057.84	0.866398	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6638	-105.945	-124.295	-143.163	-162.129	-181.325
7150000	325.179	927.159	0.953321	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7200000	341.101	1009.49	0.908821	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7250000	357.803	1086.25	0.866398	0	-17.2441	-34.4082	-51.8933	-69.7475	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7300000	325.179	964.445	0.953321	0	-17.2441	-34.4081	-51.8933	-69.7475	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7350000	357.803	1086.75	0.866398	0	-17.2441	-34.4081	-51.8932	-69.7475	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
7400000	357.803	1105.31	0.866398	0	-17.2441	-34.4081	-51.8932	-69.7474	-87.6637	-105.945	-124.295	-143.163	-162.129	-181.325
