"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"300K Weight"	"340.866K Weight"	"387.298K Weight"	"440.056K Weight"	"500K Weight"
10900	500	49.4034	0.6	0	3	6	8	7
10950	500	61.3278	0.6	0	3	6	8	7
11000	387.298	48.3987	0.774597	0	3	5	8	7
11050	387.298	50.9305	0.774597	0	3	5	8	7
11100	387.298	54.8523	0.774597	0	3	5	8	7
11150	387.298	53.6791	0.774597	0	3	5	8	7
11200	387.298	55.0281	0.774597	0	3	5	8	7
11250	387.298	42.3945	0.774597	0	3	5	8	7
11300	387.298	50.723	0.774597	0	3	5	8	7
11350	387.298	47.8834	0.774597	0	3	5	8	7
11400	387.298	49.281	0.774597	0	3	5	8	7
11450	387.298	41.34	0.774597	0	3	5	8	7
11500	440.056	48.0075	0.681732	0	3	5	7	7
11550	440.056	50.9195	0.681732	0	3	5	7	7
11600	440.056	58.2383	0.681732	0	3	5	7	7
11650	440.056	41.1967	0.681732	0	3	5	7	7
11700	440.056	55.6477	0.681732	0	3	5	7	7
11750	440.056	52.3372	0.681732	0	3	5	7	7
11800	440.056	47.7464	0.681732	0	3	5	7	7
11850	440.056	53.4277	0.681732	0	3	5	7	7
11900	440.056	53.7513	0.681732	0	3	5	7	7
11950	440.056	41.4473	0.681732	0	3	5	7	7
12000	340.866	41.0948	0.880112	0	2	5	7	7
12050	340.866	52.6156	0.880112	0	2	5	7	7
12100	340.866	50.5144	0.880112	0	2	5	7	7
12150	340.866	45.9799	0.880112	0	2	5	7	7
12200	340.866	48.4388	0.880112	0	2	5	7	7
12250	340.866	50.2987	0.880112	0	2	5	7	7
12300	340.866	40.655	0.880112	0	2	5	7	7
12350	340.866	44.9083	0.880112	0	2	5	7	7
12400	340.866	39.5157	0.880112	0	2	5	7	7
12450	340.866	46.5874	0.880112	0	2	5	7	7
12500	300	46.8732	1	0	3	6	8	8
12550	300	38.8369	1	0	3	6	8	8
12600	300	52.8263	1	0	3	6	8	8
12650	300	45.7885	1	0	3	6	8	8
12700	300	50.4242	1	0	3	6	8	8
12750	300	51.6122	1	0	3	6	8	8
12800	300	57.212	1	0	3	6	8	8
12850	300	40.3306	1	0	3	6	8	8
12900	300	43.9034	1	0	3	6	8	8
12950	300	48.4888	1	0	3	6	8	8
13000	440.056	48.5078	0.681732	0	3	6	7	8
13050	440.056	47	0.681732	0	3	6	7	8
13100	440.056	40.2347	0.681732	0	3	6	7	8
13150	440.056	45.0825	0.681732	0	3	6	7	8
13200	440.056	50.0573	0.681732	0	3	6	7	8
13250	440.056	46.7042	0.681732	0	3	6	7	8
13300	440.056	51.6787	0.681732	0	3	6	7	8
13350	440.056	44.7476	0.681732	0	3	6	7	8
13400	440.056	46.0569	0.681732	0	3	6	7	8
13450	440.056	51.6235	0.681732	0	3	6	7	8
13500	340.866	60.7463	0.880112	0	2	6	7	8
13550	340.866	47.7435	0.880112	0	2	6	7	8
13600	340.866	48.2927	0.880112	0	2	6	7	8
13650	340.866	50.1596	0.880112	0	2	6	7	8
13700	340.866	52.2691	0.880112	0	2	6	7	8
13750	340.866	49.0724	0.880112	0	2	6	7	8
13800	340.866	45.9985	0.880112	0	2	6	7	8
13850	340.866	52.2858	0.880112	0	2	6	7	8
