"Steps"	"Temperature (K)"	"PotentialEnergy"	"Scaling"	"298K Weight"	"386.47K Weight"	"501.204K Weight"	"650K Weight"
10600	650	151.434	0.458462	0	-8	-10	-17
10650	650	145.59	0.458462	0	-8	-10	-17
10700	650	139.182	0.458462	0	-8	-10	-17
10750	501.204	117.321	0.594569	0	-8	-12	-17
10800	501.204	150.121	0.594569	0	-8	-12	-17
10850	501.204	92.6139	0.594569	0	-8	-12	-17
10900	501.204	115.443	0.594569	0	-8	-12	-17
10950	501.204	134.669	0.594569	0	-8	-12	-17
11000	501.204	110.623	0.594569	0	-8	-14	-17
11050	501.204	145.817	0.594569	0	-8	-14	-17
11100	501.204	81.5989	0.594569	0	-8	-14	-17
11150	501.204	115.85	0.594569	0	-8	-14	-17
11200	501.204	119.386	0.594569	0	-8	-14	-17
11250	650	124.95	0.458462	0	-8	-14	-19
11300	650	235.493	0.458462	0	-8	-14	-19
11350	650	111.09	0.458462	0	-8	-14	-19
11400	650	203.714	0.458462	0	-8	-14	-19
11450	650	111.16	0.458462	0	-8	-14	-19
11500	650	129.613	0.458462	0	-8	-14	-21
11550	650	125.786	0.458462	0	-8	-14	-21
11600	650	131.341	0.458462	0	-8	-14	-21
11650	650	129.068	0.458462	0	-8	-14	-21
11700	650	149.566	0.458462	0	-8	-14	-21
11750	386.47	64.535	0.771083	0	-10	-14	-21
11800	386.47	58.9821	0.771083	0	-10	-14	-21
11850	386.47	68.0669	0.771083	0	-10	-14	-21
11900	386.47	72.4088	0.771083	0	-10	-14	-21
11950	386.47	61.3773	0.771083	0	-10	-14	-21
12000	298	46.6261	1	0	-8	-12	-19
12050	298	45.1386	1	0	-8	-12	-19
12100	298	44.4076	1	0	-8	-12	-19
12150	298	50.2522	1	0	-8	-12	-19
12200	298	48.5071	1	0	-8	-12	-19
12250	298	43.6525	1	0	-6	-10	-17
12300	298	43.3988	1	0	-6	-10	-17
12350	298	41.7858	1	0	-6	-10	-17
12400	298	46.0726	1	0	-6	-10	-17
12450	298	45.9977	1	0	-6	-10	-17
12500	298	49.2287	1	0	-4	-8	-15
12550	298	44.6683	1	0	-4	-8	-15
12600	298	47.1812	1	0	-4	-8	-15
12650	298	42.1455	1	0	-4	-8	-15
12700	298	41.382	1	0	-4	-8	-15
12750	386.47	62.6209	0.771083	0	-6	-8	-15
12800	386.47	75.9537	0.771083	0	-6	-8	-15
12850	386.47	55.4661	0.771083	0	-6	-8	-15
12900	386.47	72.9855	0.771083	0	-6	-8	-15
12950	386.47	57.4228	0.771083	0	-6	-8	-15
13000	501.204	93.7556	0.594569	0	-6	-10	-15
13050	501.204	97.0155	0.594569	0	-6	-10	-15
13100	501.204	78.8575	0.594569	0	-6	-10	-15
13150	501.204	94.2042	0.594569	0	-6	-10	-15
13200	501.204	81.7158	0.594569	0	-6	-10	-15
13250	650	127.399	0.458462	0	-6	-10	-17
13300	650	96.9648	0.458462	0	-6	-10	-17
13350	650	119.47	0.458462	0	-6	-10	-17
13400	650	204.24	0.458462	0	-6	-10	-17
13450	650	158.411	0.458462	0	-6	-10	-17
13500	650	130.263	0.458462	0	-6	-10	-19
13550	650	171.84	0.458462	0	-6	-10	-19
13600	650	144.347	0.458462	0	-6	-10	-19
13650	650	115.968	0.458462	0	-6	-10	-19
13700	650	147.58	0.458462	0	-6	-10	-19
13750	501.204	102.233	0.594569	0	-6	-12	-19
13800	501.204	86.5388	0.594569	0	-6	-12	-19
13850	501.204	84.4588	0.594569	0	-6	-12	-19
13900	501.204	89.7808	0.594569	0	-6	-12	-19
13950	501.204	93.9045	0.594569	0	-6	-12	-19
14000	501.204	97.9199	0.594569	0	-6	-14	-19
14050	501.204	84.0153	0.594569	0	-6	-14	-19
14100	501.204	96.8867	0.594569	0	-6	-14	-19
14150	501.204	112.631	0.594569	0	-6	-14	-19
14200	501.204	87.695	0.594569	0	-6	-14	-19
14250	650	162.435	0.458462	0	-6	-14	-21
14300	650	122.798	0.458462	0	-6	-14	-21
14350	650	102.924	0.458462	0	-6	-14	-21
14400	650	130.496	0.458462	0	-6	-14	-21
14450	650	119.74	0.458462	0	-6	-14	-21
14500	501.204	96.1309	0.594569	0	-6	-16	-21
14550	501.204	123.284	0.594569	0	-6	-16	-21
14600	501.204	119.973	0.594569	0	-6	-16	-21
14650	501.204	98.3022	0.594569	0	-6	-16	-21
14700	501.204	100.74	0.594569	0	-6	-16	-21
14750	386.47	59.4842	0.771083	0	-8	-16	-21
14800	386.47	68.0963	0.771083	0	-8	-16	-21
14850	386.47	80.7718	0.771083	0	-8	-16	-21
14900	386.47	75.236	0.771083	0	-8	-16	-21
14950	386.47	63.9419	0.771083	0	-8	-16	-21
15000	298	56.216	1	0	-6	-14	-19
15050	298	51.2942	1	0	-6	-14	-19
15100	298	53.6497	1	0	-6	-14	-19
15150	298	46.1076	1	0	-6	-14	-19
15200	298	54.9286	1	0	-6	-14	-19
15250	298	48.7779	1	0	-4	-12	-17
15300	298	48.5942	1	0	-4	-12	-17
15350	298	43.0817	1	0	-4	-12	-17
15400	298	41.0654	1	0	-4	-12	-17
15450	298	44.8511	1	0	-4	-12	-17
15500	298	43.3464	1	0	-2	-10	-15
15550	298	51.4822	1	0	-2	-10	-15
15600	298	51.8062	1	0	-2	-10	-15
15650	298	46.2607	1	0	-2	-10	-15
15700	298	44.7105	1	0	-2	-10	-15
15750	386.47	60.5027	0.771083	0	-4	-10	-15
15800	386.47	60.726	0.771083	0	-4	-10	-15
15850	386.47	55.5499	0.771083	0	-4	-10	-15
15900	386.47	64.54	0.771083	0	-4	-10	-15
15950	386.47	63.7673	0.771083	0	-4	-10	-15
16000	386.47	62.513	0.771083	0	-6	-10	-15
16050	386.47	73.5927	0.771083	0	-6	-10	-15
