#"Step","Potential Energy (kJ/mole)","Density (g/mL)","Speed (ns/day)","Time Remaining"
2300000,-145.99127197265625,0.02992547106902703,2.62e+03,4:32:48
2350000,-102.31787109375,0.02992547106902703,2.62e+03,4:32:41
2400000,-99.35791015625,0.02992547106902703,2.62e+03,4:32:35
2450000,-123.0941162109375,0.02992547106902703,2.62e+03,4:32:28
2500000,-115.76654052734375,0.02992547106902703,2.62e+03,4:32:23
2550000,-117.84805297851562,0.02992547106902703,2.62e+03,4:32:17
2600000,-140.11782836914062,0.02992547106902703,2.62e+03,4:32:11
2650000,-99.58575439453125,0.02992547106902703,2.62e+03,4:32:07
2700000,-92.46249389648438,0.02992547106902703,2.62e+03,4:32:11
2750000,-122.28125,0.02992547106902703,2.62e+03,4:32:05
2800000,-121.34942626953125,0.02992547106902703,2.62e+03,4:32:03
2850000,-141.86273193359375,0.02992547106902703,2.62e+03,4:32:01
2900000,-111.46408081054688,0.02992547106902703,2.62e+03,4:31:55
2950000,-113.1070556640625,0.02992547106902703,2.62e+03,4:31:50
3000000,-119.2861328125,0.02992547106902703,2.62e+03,4:31:45
3050000,-102.44577026367188,0.02992547106902703,2.62e+03,4:31:40
3100000,-108.61312866210938,0.02992547106902703,2.62e+03,4:31:35
3150000,-100.8492431640625,0.02992547106902703,2.62e+03,4:31:39
3200000,-111.25567626953125,0.02992547106902703,2.62e+03,4:31:35
3250000,-114.71514892578125,0.02992547106902703,2.62e+03,4:31:29
3300000,-107.9638671875,0.02992547106902703,2.62e+03,4:31:24
3350000,-97.03890991210938,0.02992547106902703,2.62e+03,4:31:19
3400000,-121.13656616210938,0.02992547106902703,2.62e+03,4:31:14
3450000,-120.30364990234375,0.02992547106902703,2.62e+03,4:31:09
3500000,-107.26492309570312,0.02992547106902703,2.62e+03,4:31:04
3550000,-123.47335815429688,0.02992547106902703,2.58e+03,4:35:02
3600000,-103.54965209960938,0.02992547106902703,2.58e+03,4:35:00
3650000,-133.49002075195312,0.02992547106902703,2.58e+03,4:34:51
3700000,-95.60214233398438,0.02992547106902703,2.59e+03,4:34:43
3750000,-122.07217407226562,0.02992547106902703,2.59e+03,4:34:35
3800000,-123.26870727539062,0.02992547106902703,2.59e+03,4:34:27
3850000,-99.07415771484375,0.02992547106902703,2.59e+03,4:34:19
3900000,-151.29217529296875,0.02992547106902703,2.59e+03,4:34:11
3950000,-79.66851806640625,0.02992547106902703,2.59e+03,4:34:04
4000000,-119.76998901367188,0.02992547106902703,2.59e+03,4:33:57
4050000,-142.708740234375,0.02992547106902703,2.59e+03,4:33:57
4100000,-126.33059692382812,0.02992547106902703,2.59e+03,4:33:50
4150000,-119.42364501953125,0.02992547106902703,2.59e+03,4:33:43
4200000,-124.99420166015625,0.02992547106902703,2.59e+03,4:33:36
4250000,-123.28335571289062,0.02992547106902703,2.59e+03,4:33:29
4300000,-103.24642944335938,0.02992547106902703,2.59e+03,4:33:22
4350000,-140.46099853515625,0.02992547106902703,2.59e+03,4:33:15
4400000,-118.36831665039062,0.02992547106902703,2.59e+03,4:33:08
4450000,-135.95166015625,0.02992547106902703,2.59e+03,4:33:01
4500000,-84.3328857421875,0.02992547106902703,2.59e+03,4:33:00
4550000,-139.56753540039062,0.02992547106902703,2.59e+03,4:32:54
4600000,-117.11019897460938,0.02992547106902703,2.59e+03,4:32:47
4650000,-130.79898071289062,0.02992547106902703,2.59e+03,4:32:42
4700000,-92.7069091796875,0.02992547106902703,2.59e+03,4:32:37
4750000,-148.69891357421875,0.02992547106902703,2.59e+03,4:32:32
4800000,-114.88693237304688,0.02992547106902703,2.6e+03,4:32:27
