#"Step","Potential Energy (kJ/mole)","Density (g/mL)","Speed (ns/day)","Time Remaining"
136550000,-108.00054931640625,0.02992547106902703,2.76e+03,1:58:26
136600000,-116.2449951171875,0.02992547106902703,2.76e+03,1:58:23
136650000,-133.1785888671875,0.02992547106902703,2.76e+03,1:58:19
136700000,-122.30291748046875,0.02992547106902703,2.76e+03,1:58:16
136750000,-91.264404296875,0.02992547106902703,2.76e+03,1:58:13
136800000,-103.64990234375,0.02992547106902703,2.76e+03,1:58:10
136850000,-129.06988525390625,0.02992547106902703,2.76e+03,1:58:07
136900000,-110.81207275390625,0.02992547106902703,2.76e+03,1:58:04
136950000,-116.92172241210938,0.02992547106902703,2.76e+03,1:58:00
137000000,-127.47161865234375,0.02992547106902703,2.76e+03,1:57:57
137050000,-116.267333984375,0.02992547106902703,2.76e+03,1:57:54
137100000,-132.75140380859375,0.02992547106902703,2.76e+03,1:57:51
137150000,-117.56744384765625,0.02992547106902703,2.76e+03,1:57:48
137200000,-114.6221923828125,0.02992547106902703,2.76e+03,1:57:45
137250000,-110.06051635742188,0.02992547106902703,2.76e+03,1:57:42
137300000,-101.02239990234375,0.02992547106902703,2.76e+03,1:57:38
137350000,-105.54312133789062,0.02992547106902703,2.76e+03,1:57:35
137400000,-117.9542236328125,0.02992547106902703,2.76e+03,1:57:32
137450000,-119.29620361328125,0.02992547106902703,2.76e+03,1:57:29
137500000,-98.28863525390625,0.02992547106902703,2.76e+03,1:57:26
137550000,-103.3946533203125,0.02992547106902703,2.76e+03,1:57:23
137600000,-122.77978515625,0.02992547106902703,2.76e+03,1:57:19
137650000,-120.15875244140625,0.02992547106902703,2.76e+03,1:57:16
137700000,-115.2984619140625,0.02992547106902703,2.76e+03,1:57:13
137750000,-108.806640625,0.02992547106902703,2.76e+03,1:57:10
137800000,-125.94595336914062,0.02992547106902703,2.76e+03,1:57:07
137850000,-111.71206665039062,0.02992547106902703,2.76e+03,1:57:04
137900000,-98.58770751953125,0.02992547106902703,2.76e+03,1:57:00
137950000,-138.5333251953125,0.02992547106902703,2.76e+03,1:56:57
138000000,-80.99008178710938,0.02992547106902703,2.76e+03,1:56:54
138050000,-83.02517700195312,0.02992547106902703,2.76e+03,1:56:51
138100000,-120.986328125,0.02992547106902703,2.76e+03,1:56:48
138150000,-120.15316772460938,0.02992547106902703,2.76e+03,1:56:45
138200000,-104.251708984375,0.02992547106902703,2.76e+03,1:56:41
138250000,-104.5203857421875,0.02992547106902703,2.76e+03,1:56:38
